Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-18 15:57:44,2019-03-18 15:58:12,28.175s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-18 15:57:45,2019-03-18 15:58:00,14.898s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-18 15:57:46,2019-03-18 15:57:51,5.533s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-18 15:57:51,2019-03-18 15:57:54,2.628s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-18 15:57:54,2019-03-18 15:57:56,2.041s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-18 15:57:56,2019-03-18 15:57:57,0.986s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-18 15:57:57,2019-03-18 15:57:58,1.035s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-18 15:57:58,2019-03-18 15:57:58,0.220s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-18 15:57:58,2019-03-18 15:57:58,0.150s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-18 15:57:58,2019-03-18 15:58:00,1.320s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-18 15:58:00,2019-03-18 15:58:12,12.446s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-18 15:58:00,2019-03-18 15:58:11,10.171s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-18 15:58:11,2019-03-18 15:58:11,0.416s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-18 15:58:11,2019-03-18 15:58:12,1.151s,PASSED
